,area_name,Walkability Index,area_code_x,obese_perc,overweight_perc,area_code_y,avg_life_satisfaction_x,area_code,avg_life_satisfaction_y,no_car_perc,Income_variable,median_age,median_household_income,median_rent,Bus Stop Count,Tram Stop Count,Tran Station Count
0,Abbotsford,0.847582812,206071139,15.6689046,33.55966579,206071139,77.265,206071139,77.265,16.70281996,0.401062145,35,1792,391,13,7,2
1,Albert Park,0.425471119,206051128,13.72306076,34.97994136,206051128,77.842,206051128,77.842,14.4229204,3.807070564,38,2063,460,23,41,0
2,Alphington - Fairfield,-2.055191654,206021110,20.12172774,34.35737249,206021110,77.622,206021110,77.622,11.32420091,0.797267001,36,1501,300,48,0,2
3,Armadale,-1.016521659,206061135,13.95429063,34.68678293,206061135,77.526,206061135,77.526,14.9003148,3.032516727,36,1711,350,22,41,2
4,Ascot Vale,-1.463377807,206031113,25.81129999,34.09757418,206031113,77.098,206031113,77.098,15.11539917,0.258099179,35,1448,266,40,22,1
5,Brunswick,-0.680594172,206011105,18.56977822,32.4869804,206011105,76.464,206011105,76.464,21.58064516,-0.144445975,33,1432,350,88,36,3
6,Brunswick East,-0.417797309,206011106,18.56977822,32.4869804,206011106,76.708,206011106,76.708,18.40490798,0.042442797,33,1468,351,32,19,0
7,Brunswick West,-1.725236048,206011107,23.62081598,34.95863277,206011107,76.527,206011107,76.527,18.42531008,-0.1163742,34,1232,277,65,20,0
8,Carlton,2.69895342,206041117,14.16359066,31.6719404,206041117,71.713,206041117,71.713,57.84929356,-0.264485124,25,589,339,40,18,0
9,Carlton North - Princes Hill,-0.955972573,206071140,14.63942739,33.94836706,206071140,76.768,206071140,76.768,19.55466743,1.071510793,32,1739,411,19,20,0
10,Coburg,-1.852370251,206011108,26.07101574,34.10165508,206011108,77.429,206011108,77.429,13.85172187,-0.404777942,35,1325,330,104,34,2
11,Collingwood,1.015557412,206071141,15.42166245,31.30002276,206071141,74.361,206071141,74.361,29.34109938,0.193437416,32,1278,280,12,8,0
12,Docklands,1.168116405,206041118,12.24663913,33.85315734,206041118,76.224,206041118,76.224,26.78571429,1.266119723,31,1900,508,18,27,2
13,East Melbourne,0.954821461,206041119,13.86543749,34.34884254,206041119,77.113,206041119,77.113,20.31042129,3.653357118,36,1997,410,14,35,2
14,Elwood,-0.626252967,206051129,14.20910791,33.10896307,206051129,76.467,206051129,76.467,13.0075299,1.526139261,34,1714,350,38,5,0
15,Essendon - Aberfeldie,-2.004841161,206031114,21.59055001,35.93331393,206031114,78.567,206031114,78.567,11.00581521,0.780136991,38,1539,300,110,29,4
16,Fitzroy,1.344740337,206071142,15.42166245,31.30002276,206071142,75.247,206071142,75.247,28.474043,0.500310622,33,1482,350,8,29,0
17,Fitzroy North,0.204231667,206071143,14.63942739,33.94836706,206071143,76.793,206071143,76.793,20.02503129,1.210651123,35,1698,369,40,28,1
18,Flemington,-0.136414905,206031115,17.40304539,32.61291497,206031115,75.026,206031115,75.026,26.98496439,0.284593073,31,1105,250,8,17,2
19,Kensington,1.062515449,206041121,15.84330626,32.84863546,206041121,76.382,206041121,76.382,17.74654597,0.290566766,32,1718,350,15,6,2
20,Melbourne,3.547424876,206041122,11.77135358,30.39681257,206041122,73.319,206041122,73.319,68.45147219,0.294213368,26,1039,415,47,90,3
21,Moonee Ponds,-1.473731061,206031116,21.59055001,35.93331393,206031116,78.261,206031116,78.261,14.52439719,0.755616623,37,1609,321,61,25,1
22,North Melbourne,1.697014976,206041123,14.45895045,31.50752782,206041123,75.01,206041123,75.01,31.5920398,0.054104576,29,1338,369,35,43,2
23,Northcote,-1.240260298,206021111,20.12172774,34.35737249,206021111,77.394,206021111,77.394,16.1831219,0.491438093,36,1564,346,75,29,5
24,Parkville,0.655881776,206041124,16.08530799,35.45054261,206041124,76.151,206041124,76.151,22.15067611,0.559524244,24,1493,370,25,32,1
25,Pascoe Vale South,-2.406908613,206011109,23.62081598,34.95863277,206011109,78.575,206011109,78.575,8.377738307,-0.179374403,38,1433,323,43,9,0
26,Port Melbourne,0.927200824,206051130,16.73400255,33.83737142,206051130,77.441,206051130,77.441,12.03179942,2.299490177,38,1998,450,51,5,0
27,Prahran - Windsor,1.201359649,206061136,15.71179651,32.79983221,206061136,76.245,206061136,76.245,22.34491315,1.183772294,33,1587,365,28,48,2
28,Richmond (Vic.),0.836229594,206071144,15.98807016,33.60128584,206071144,76.531,206071144,76.531,21.85162369,1.024982994,33,1730,370,6,69,6
29,South Melbourne,1.838321942,206051132,15.78577349,33.37469595,206051132,76.625,206051132,76.625,21.40890317,1.73773783,37,1719,400,19,32,0
30,South Yarra - East,1.249292085,206061137,15.71179651,32.79983221,206061137,75.982,206061137,75.982,25.49269814,3.160819877,33,1633,360,24,28,2
31,South Yarra - West,0.823605851,206041125,13.86543749,34.34884254,206041125,77.177,206041125,77.177,20.08046818,2.957092155,35,1871,381,14,23,0
